"","utm_1x1","number_of_species","predicted_abundance","number_of_species_rs","predicted_abundance_rs","host_capacity_rs","number_of_species_nrs","predicted_abundance_nrs","rs_ratio"
"51","EG0282",47,566.443463423618,5,107.61,271.033884436743,5,82.73,1.30073733832951
"52","EG0366",45,496.92,5,105.01,271.383978722457,5,34.44,3.04907084785134
"53","EG0367",49,518.403463423618,5,113.11,287.032535528537,5,35.13,3.21975519499004
"54","EG0368",65,485.543463423618,5,51.49,119.60428597866,6,18.46,2.78927410617551
"55","EG0369",46,547.26,5,114.1,285.907628742823,4,81.96,1.39214250854075
"56","EG0370",44,496.92,5,109.75,281.5828615796,5,81.49,1.34679101730274
"57","EG0371",50,404.54,5,108.4,280.9331740796,4,18.41,5.88810429114612
"58","EG0372",50,370.69,5,105.01,271.383978722457,5,8.78,11.9601366742597
"59","EG0373",51,430.173463423618,5,103.04,261.509933355897,7,26.13,3.9433601224646
"60","EG0374",48,498.963463423618,5,107.61,271.033884436743,6,83.86,1.28321011209158
"61","EG0375",50,446.67,5,106.26,270.384196936743,7,70.19,1.51389086764496
"62","EG0376",46,542.95,5,114.1,285.907628742823,7,87.99,1.29673826571201
"63","EG0377",48,525.01,5,107.61,271.033884436743,7,89.65,1.20033463469046
"64","EG0378",46,535.53,5,107.61,271.033884436743,5,85.5,1.25859649122807
"65","EG0379",50,514.08,5,102.68,259.735339070183,7,67.25,1.52684014869888
"66","EG0380",51,567.61,4,101.52,254.017201927326,5,80.31,1.26410160627568
"67","EG0381",46,566.883463423618,5,106.62,272.158791222457,5,80.99,1.3164588220768
"68","EG0382",51,469.6,5,100.08,260.085433355897,4,16.47,6.07650273224044
"69","EG0466",43,419.9,5,109.75,281.5828615796,5,18.72,5.86271367521368
"70","EG0467",46,514.643463423618,5,106.62,272.158791222457,5,81.49,1.30838139649037
"71","EG0468",61,545.86,4,101.52,254.017201927326,5,19.14,5.30407523510972
"72","EG0469",57,504.95,4,106.45,265.315747293886,4,17.34,6.13898500576701
"73","EG0470",52,413.793463423618,5,102.68,259.735339070183,6,19.84,5.17540322580645
"74","EG0471",42,552.56,5,112.75,285.257941242823,4,84.8,1.32959905660377
"75","EG0472",56,483.77,5,101.69,260.860245855897,5,16.78,6.06019070321812
"76","EG0473",51,448.89,4,106.45,265.315747293886,6,22.97,4.6343056160209
"77","EG0474",52,489.41,5,102.68,259.735339070183,7,67.75,1.51557195571956
"78","EG0475",53,430.28,5,102.68,259.735339070183,7,67.46,1.52208716276312
"79","EG0476",52,506.14,5,107.61,271.033884436743,8,73.1,1.47209302325581
"80","EG0477",53,491.48,5,102.68,259.735339070183,8,73.23,1.40215758568893
"81","EG0478",51,558.1,5,107.61,271.033884436743,7,89.03,1.20869369875323
"82","EG0479",53,492.64,4,101.52,254.017201927326,6,20.33,4.99360550909985
"83","EG0480",45,476.303463423618,5,102.68,259.735339070183,5,17.47,5.87750429307384
"84","EG0481",46,439.36,5,101.69,260.860245855897,4,17.22,5.90534262485482
"85","EG0482",47,397.06,5,48.89,119.954380264374,4,5.16,9.47480620155039
"86","EG0566",49,537.82,5,107.61,271.033884436743,5,81.49,1.32053012639588
"87","EG0567",53,470.333463423618,5,109.75,281.5828615796,6,66.7,1.64542728635682
"88","EG0568",47,537.083463423618,5,114.1,285.907628742823,5,80.99,1.40881590319793
"89","EG0569",60,541.4,5,107.61,271.033884436743,5,34.51,3.11822660098522
"90","EG0570",49,451.443463423618,5,106.26,270.384196936743,5,35.13,3.02476515798463
"91","EG0571",51,483.463463423618,5,107.97,272.808478722457,6,67.74,1.59388839681134
"92","EG0572",53,496.913463423618,5,107.61,271.033884436743,6,67.74,1.58857395925598
"93","EG0573",57,403.81,4,106.45,265.315747293886,7,22.23,4.78857399910031
"94","EG0574",52,400.91,4,106.45,265.315747293886,6,18.73,5.6833956219968
"95","EG0575",48,377.06,4,106.45,265.315747293886,5,6.1,17.4508196721311
"96","EG0576",50,514.58,5,107.61,271.033884436743,7,84.91,1.26734189141444
"97","EG0577",45,535.9,5,114.1,285.907628742823,6,85.62,1.3326325624854
"98","EG0578",50,568.56,4,106.45,265.315747293886,6,87.43,1.21754546494338
"99","EG0579",52,561.153463423618,5,106.62,272.158791222457,5,81.49,1.30838139649037
"100","EG0580",62,479.84,5,102.68,259.735339070183,7,24.36,4.21510673234811
"101","EG0581",65,500.47,5,102.68,259.735339070183,8,23.91,4.29443747386031
"102","EG0582",50,472.54,5,101.86,268.85981621304,4,5.66,17.9964664310954
"103","EG0666",54,417.553463423618,5,107.61,271.033884436743,5,17.97,5.98831385642738
"104","EG0667",54,535.76,5,107.61,271.033884436743,5,81.49,1.32053012639588
"105","EG0668",47,539.203463423618,5,112.75,285.257941242823,5,85.11,1.32475619786159
"106","EG0669",57,567.41,4,106.45,265.315747293886,6,85.62,1.24328427937398
"107","EG0670",50,561.71,4,112.94,280.189491599966,6,85.12,1.32683270676692
"108","EG0671",47,493.923463423618,5,116.24,296.45660588568,6,83.56,1.39109621828626
"109","EG0672",52,495.653463423618,5,107.61,271.033884436743,5,35.13,3.06319385140905
"110","EG0673",59,427.62,4,106.45,265.315747293886,8,24.61,4.32547744819179
"111","EG0674",56,384.8,4,106.45,265.315747293886,7,11.43,9.31321084864392
"112","EG0675",52,389.11,5,102.68,259.735339070183,8,24.6,4.1739837398374
"113","EG0676",51,414.503463423618,5,103.04,261.509933355897,7,67.75,1.52088560885609
"114","EG0677",50,567.13,4,106.45,265.315747293886,6,85.13,1.25044050276048
"115","EG0678",46,560.02,4,106.45,265.315747293886,6,85.12,1.25058740601504
"116","EG0679",58,586.96,4,101.52,254.017201927326,6,90.22,1.12524939037907
"117","EG0680",69,483.86,4,101.52,254.017201927326,7,14.3,7.0993006993007
"118","EG0681",62,407.75,5,103.04,261.509933355897,7,12.3,8.37723577235772
"119","EG0682",61,522.71,5,102.68,259.735339070183,7,22.73,4.51737791465024
"120","EG0766",49,345.603463423618,5,103.04,261.509933355897,6,21.09,4.88572783309625
"121","EG0767",53,488.56,5,107.61,271.033884436743,5,17.97,5.98831385642738
"122","EG0768",51,469.53,5,106.26,270.384196936743,5,35.13,3.02476515798463
"123","EG0769",49,551.703463423618,5,106.26,270.384196936743,4,80.86,1.31412317585951
"124","EG0770",54,519.32,4,106.45,265.315747293886,5,38.45,2.76853055916775
"125","EG0771",56,504.34,4,106.45,265.315747293886,5,16.85,6.31750741839763
"126","EG0772",58,473.65,4,106.45,265.315747293886,5,36.58,2.91006014215418
"127","EG0773",65,415.53,4,101.52,254.017201927326,7,16.6,6.11566265060241
"128","EG0774",57,384.04,4,101.52,254.017201927326,6,21.61,4.69782508098103
"129","EG0775",52,371.65,5,102.68,259.735339070183,7,22.12,4.64195298372513
"130","EG0776",52,517.433463423618,5,107.61,271.033884436743,7,84.91,1.26734189141444
"131","EG0777",53,575.66,4,106.45,265.315747293886,5,80.88,1.31614737883284
"132","EG0778",52,562.26,4,101.52,254.017201927326,7,88.54,1.14660040659589
"133","EG0779",55,458.19,4,101.52,254.017201927326,7,20.83,4.87373979836774
"134","EG0780",59,471.71,4,101.52,254.017201927326,8,26.88,3.77678571428571
"135","EG0781",57,474.28,5,102.68,259.735339070183,8,24.6,4.1739837398374
"136","EG0782",51,420.183463423618,4,101.52,254.017201927326,7,25.01,4.05917632946821
"137","EG0866",53,386.26,4,101.52,254.017201927326,7,24.59,4.12850752338349
"138","EG0867",49,540.44,4,106.45,265.315747293886,5,85.61,1.24342950589884
"139","EG0868",53,490.323463423618,5,109.75,281.5828615796,5,85.93,1.27720237402537
"140","EG0869",47,523.363463423618,5,114.1,285.907628742823,5,85.61,1.33278822567457
"141","EG0870",57,576.17,5,114.1,285.907628742823,6,87.92,1.29777070063694
"142","EG0871",64,478.76,4,106.45,265.315747293886,6,25.3,4.20750988142292
"143","EG0872",58,410.25,4,106.45,265.315747293886,6,27.06,3.93385070214339
"144","EG0873",63,369.99,4,50.33,113.886148835803,6,16.22,3.10295930949445
"145","EG0874",62,300.15,4,30.55,59.7390062268886,6,13.92,2.19468390804598
"146","EG0875",63,331.35,4,50.33,113.886148835803,8,14.88,3.38239247311828
"147","EG0876",56,446.06,4,101.52,254.017201927326,7,42.18,2.40682788051209
"148","EG0877",45,544.72,4,106.45,265.315747293886,5,84.75,1.25604719764012
"149","EG0878",40,446.3,4,112.94,280.189491599966,5,84.81,1.33168258460087
"150","EG0879",47,493.48,5,107.61,271.033884436743,7,87.49,1.22996913933021
"151","EG0880",56,447.01,4,101.52,254.017201927326,7,22.06,4.60199456029012
"152","EG0881",64,449.88,4,101.52,254.017201927326,7,18.29,5.55057408419902
"153","EG0882",59,450.28,4,101.52,254.017201927326,6,13.58,7.47569955817379
"154","EG0966",42,285.413463423618,4,55.26,125.184694202363,4,67.57,0.817818558531893
"155","EG0967",42,284.283463423618,4,55.26,125.184694202363,4,67.57,0.817818558531893
"156","EG0968",43,236.083463423618,4,50.33,113.886148835803,4,9.9,5.08383838383838
"157","EG0969",40,214.603463423618,4,50.33,113.886148835803,4,9.9,5.08383838383838
"158","EG0970",42,200.673463423618,4,30.55,59.7390062268886,3,6.98,4.37679083094556
"159","EG0971",43,208.813463423618,4,30.55,59.7390062268886,4,9.9,3.08585858585859
"160","EG0972",43,229.723463423618,4,50.33,113.886148835803,5,9.91,5.07870837537841
"161","EG0973",45,229.233463423618,4,30.55,59.7390062268886,5,9.91,3.08274470232089
"162","EG0974",46,227.81,4,30.55,59.7390062268886,5,9.92,3.07963709677419
"163","EG0975",42,260.18,4,50.33,113.886148835803,4,5.22,9.64176245210728
"164","EG0976",52,506.39,4,112.94,280.189491599966,6,44.87,2.51704925339871
"165","EG0977",41,401.41,4,106.45,265.315747293886,5,87.11,1.22201813798645
"166","EG0978",48,556.603463423618,4,112.94,280.189491599966,5,88.81,1.27170363697782
"167","EG0979",55,400.25,4,101.52,254.017201927326,6,21.61,4.69782508098103
"168","EG0980",59,414.71,4,101.52,254.017201927326,5,4.84,20.9752066115702
"169","EG0981",62,453.38,4,101.52,254.017201927326,6,25.3,4.01264822134387
"170","EG0982",56,517.66,5,109.75,281.5828615796,4,33.7,3.2566765578635
"171","EG1075",36,137.923463423618,4,28.95,57.4990062268886,4,5.16,5.61046511627907
"172","EG1076",40,285.793463423618,4,55.26,125.184694202363,5,67.59,0.817576564580559
"173","EG1077",43,433.903463423618,4,112.94,280.189491599966,5,88.73,1.27285021976783
"174","EG1078",54,470.613463423618,5,107.61,271.033884436743,5,38.96,2.7620636550308
"175","EG1079",62,477.97,4,106.45,265.315747293886,6,28.06,3.79365645046329
"176","EG1080",56,321.92,4,50.33,113.886148835803,5,9.28,5.42349137931035
"177","EG1081",47,394,4,101.52,254.017201927326,7,24.59,4.12850752338349
"178","EG1082",48,432.4,5,101.33,259.085651570183,3,15.84,6.39709595959596
"179","EG1177",46,243.593463423618,4,55.26,125.184694202363,5,9.99,5.53153153153153
"180","EG1178",51,436.703463423618,4,106.45,265.315747293886,5,24.6,4.32723577235772
"181","EG1179",56,526.21,4,106.45,265.315747293886,6,93.5,1.13850267379679
"182","EG1180",47,437.93,5,52.28,129.503575621517,4,21.78,2.40036730945822
"183","EG1181",44,401.52,5,101.33,259.085651570183,3,15.84,6.39709595959596
"184","EG1182",42,372.29,5,98.12,256.070839070183,3,4.53,21.6600441501104
"185","EG1278",44,222.673463423618,4,48.73,111.646148835803,5,9.92,4.91229838709677
"186","EG1279",42,523.5,4,112.94,280.189491599966,5,88.81,1.27170363697782
"187","EG1280",43,556,5,106.62,272.158791222457,5,84.81,1.25716307039264
"188","EG1281",43,351.75,5,48.89,119.954380264374,3,16.34,2.99204406364749
"189","EG1282",41,319.47,5,46.93,115.93978597866,3,4.53,10.3598233995585
"190","EG1379",36,354.11,4,106.45,265.315747293886,5,87.04,1.22300091911765
"191","EG1380",47,508.473463423618,5,106.26,270.384196936743,4,33.7,3.15311572700297
"192","EG1381",38,458.34,4,103.49,263.891247293886,3,33.69,3.07183140397744
"193","EG1382",39,281.63,5,46.93,115.93978597866,2,3.23,14.5294117647059
"194","EG1479",36,409.85,4,105.1,264.666059793886,4,79.99,1.31391423927991
"195","EG1480",46,452.593463423618,5,106.26,270.384196936743,3,16.53,6.42831215970962
"196","EG1481",44,489.67,5,104.65,269.609384436743,3,34.19,3.06083650190114
"197","EG1482",34,323.45,4,45.48,115.24197347866,3,16.53,2.7513611615245
